term,estimate,std.error,statistic,p.value,model
(Intercept),-62.26413691852294,15.361268313648727,-4.05332005451661,5.2704038216089014e-5,baseball_lm
avg_weight,0.327594331390525,0.03792077670395461,8.638914069404107,1.2538641928442649e-17,baseball_lm
avg_height,1.6023076260433877,0.2682124359363305,5.974024360390772,2.796468773562947e-9,baseball_lm
roster_size,-0.9257860065351328,0.05445146064341202,-17.002041737646977,3.968858347124629e-60,baseball_lm
(Intercept),-49.50041365131548,15.518414572330041,-3.18978549133342,0.0014489539619805577,win_model
avg_weight,0.2569288102778087,0.04066529347455162,6.3181349087913254,3.348713339519902e-10,win_model
avg_height,1.1110974942857028,0.2869339000938676,3.8723116854516606,1.117654424145842e-4,win_model
roster_size,-0.5298082825365058,0.10111673957911181,-5.239570468171532,1.8039199598064252e-7,win_model
avg_games_played,0.3893703714896469,0.08397915610769832,4.6365120767622665,3.805481360363742e-6,win_model
